"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","id","bioid","name","gender","type","party","facebook","youtube"
"repterrisewell","381152398","RepTerriSewell","Rep. Terri A. Sewell","Proud to represent the 7th Congressional District of Alabama
https://t.co/xfWvIZSjrk",12939,2697,2343,"Tue Sep 27 20:47:50 +0000 2011","Washington, DC","01988","S001185","Terri A. Sewell","F","Congress","Democrat","RepSewell","RepSewell"
"repthomasmassie","975200486","RepThomasMassie","Thomas Massie","U.S. Representative for Kentucky's 4th District",18729,1871,591,"Wed Nov 28 02:33:14 +0000 2012","","02094","M001184","Thomas Massie","M","Congress","Republican","RepThomasMassie","repthomasmassie"
"repthompson","303861808","RepThompson","Mike Thompson","Rep. Mike Thompson represents California's 5th Congressional District and chairs the House Gun Violence Prevention Task Force.",6355,1554,293,"Mon May 23 14:58:06 +0000 2011","St. Helena, CA","01593","T000460","Mike Thompson","M","Congress","Democrat","RepMikeThompson","CongressmanMThompson"
"reptimmurphy","117777832","RepTimMurphy","Rep. Tim Murphy","U.S. Congressman representing Pennsylvania's 18th District, encompassing the South Hills and portions of Greene, Washington & Westmoreland Counties.",12276,3137,587,"Fri Feb 26 15:45:58 +0000 2010","Southwestern Pennsylvania","01744","M001151","Tim Murphy","M","Congress","Republican","reptimmurphy","TimMurphyPA18"
"reptimryan","13491312","RepTimRyan","Congressman Tim Ryan","Congressman Tim Ryan, proudly serving Ohio's 13th District in the United States Congress",28100,3732,2189,"Thu Feb 14 21:57:32 +0000 2008","Warren, OH","01756","R000577","Tim Ryan","M","Congress","Democrat","timryan","timryanvision"
"reptimwalz","1262814457","RepTimWalz","Tim Walz","Teacher, Football Coach, Command Sgt. Major. Proudly representing Minnesota's First Congressional District.",4191,872,920,"Tue Mar 12 20:27:45 +0000 2013","","01856","W000799","Timothy J. Walz","M","Congress","Democrat",NA,"1529tjw"
"reptipton","242873057","RepTipton","Rep. Scott Tipton","Proud to Represent the people of #Colorado's 3rd Congressional District. Member of @FinancialCmte & Vice Chairman of @westerncaucus",9193,1840,1269,"Tue Jan 25 20:01:25 +0000 2011","Cortez, CO","01997","T000470","Scott R. Tipton","M","Congress","Republican","CongressmanScottTipton","RepScottTipton"
"reptoddyoung","234128524","RepToddYoung","Rep. Todd Young","I serve the people of #IN09 in Congress. Contact our offices at 812-288-3999 (Jeffersonville), 812-336-3000 (Bloomington) or 202-225-5315 (Washington, DC).",10421,2821,476,"Tue Jan 04 22:35:16 +0000 2011","Indiana's 9th District","02019","Y000064","Todd C. Young","M","Congress","Republican","RepToddYoung","RepToddYoung"
"reptomemmer","2914515430","RepTomEmmer","Tom Emmer","Husband, father, hockey fan, and Congressman for Minnesota's 6th District.",2880,1567,151,"Wed Dec 10 21:44:52 +0000 2014","Otsego, MN | Washington, D.C.","02253","E000294","Tom Emmer","M","Congress","Republican","reptomemmer",NA
"reptomgraves","190328374","RepTomGraves","Tom Graves","Conservative Republican representing Georgia's 14th Congressional District",11788,2998,2051,"Mon Sep 13 17:36:23 +0000 2010","Washington, DC","01979","G000560","Tom Graves","M","Congress","Republican","reptomgraves","CongressmanGraves"
"reptommacarthur","2962994194","RepTomMacArthur","Tom MacArthur","Congressman for New Jersey's Third Congressional District",2812,1128,557,"Mon Jan 05 23:22:19 +0000 2015","","02258","M001193","Thomas MacArthur","M","Congress","Republican","CongressmanTomMacArthur",NA
"reptommarino","240363117","RepTomMarino","Rep. Tom Marino","Proud to serve citizens of PA-10. Member on @HouseForeign @HouseHomeland @HouseJudiciary & Vice President of @NATO Parliamentary Assembly",14854,2684,949,"Wed Jan 19 19:11:27 +0000 2011","Pennsylvania","02053","M001179","Tom Marino","M","Congress","Republican","144408762280226","RepMarino"
"reptomprice","6577802","RepTomPrice","Tom Price","Representative from Georgia's Sixth Congressional District and Chairman of the House Budget Committee.",25648,5139,3111,"Mon Jun 04 19:24:39 +0000 2007","Washington, D.C. ","01778","P000591","Tom Price","M","Congress","Republican","reptomprice","RepTomPrice"
"reptomreed","252819323","RepTomReed","Tom Reed","Tom Reed represents New York's 23rd Congressional District",8511,1256,384,"Wed Feb 16 00:03:43 +0000 2011","","01982","R000585","Tom Reed","M","Congress","Republican","RepTomReed","CongressmanTomReed"
"reptomrice","1058345042","RepTomRice","Congressman Tom Rice","Proudly representing South Carolina's 7th Congressional District. Find me on FB at http://t.co/IB00psnMmQ.",5542,633,351,"Thu Jan 03 17:35:05 +0000 2013","","02160","R000597","Tom Rice","M","Congress","Republican","reptomrice","RepTomRice"
"reptrentfranks","24773493","RepTrentFranks","Rep. Trent Franks","Representing Arizona's Eighth Congressional District.",21328,2084,2022,"Mon Mar 16 21:27:49 +0000 2009","Peoria, AZ","01707","F000448","Trent Franks","M","Congress","Republican","TrentFranks",NA
"repveasey","1074129612","RepVeasey","Rep. Marc Veasey","Proudly representing Fort Worth-Dallas. Born and reared in the Metroplex. Husband, father and Dallas Cowboys fan. #TX33, #DFW",6725,2011,2793,"Wed Jan 09 15:49:27 +0000 2013","Dallas-Fort Worth, Texas","02166","V000131","Marc A. Veasey","M","Congress","Democrat","CongressmanMarcVeasey","marcveasey"
"repvisclosky","193872188","RepVisclosky","Rep. Pete Visclosky","Tweets from the Office of Congressman Pete Visclosky, proudly representing the people of Indiana's First Congressional District. Policy: http://t.co/Wi81U7L5zE",6346,1600,1079,"Wed Sep 22 21:24:46 +0000 2010","Northwest, IN - Washington, DC","01188","V000108","Peter J. Visclosky","M","Congress","Democrat","repvisclosky","PeteVisclosky1"
"repwalberg","237862972","RepWalberg","Rep Tim Walberg","Proudly serving the Michigan 7th District, tweet at me or join the discussion on Facebook http://t.co/W4dgfpnMav",9376,2858,1040,"Thu Jan 13 20:26:26 +0000 2011","MI 7th Congressional District","01855","W000798","Tim Walberg","M","Congress","Republican","RepWalberg","RepWalberg"
"repwalorski","1065995022","RepWalorski","Jackie Walorski","Representing Indiana's Second Congressional District",6453,3372,705,"Sun Jan 06 15:41:40 +0000 2013","","02128","W000813","Jackie Walorski","F","Congress","Republican","RepJackieWalorski","repwalorski"
"repwalterjones","26778110","RepWalterJones","Rep. Walter Jones","Congressman Walter B. Jones represents the Third Congressional District of North Carolina #NC03",14971,1640,198,"Thu Mar 26 15:50:58 +0000 2009","Eastern North Carolina","00612","J000255","Walter B. Jones","M","Congress","Republican","15083070102","RepWalterJones"
"repwebster","281540744","RepWebster","Daniel Webster","A family man and small-business owner who is dedicated to serving the citizens of Central Florida with honor and integrity.",9181,2771,310,"Wed Apr 13 13:47:05 +0000 2011","Central Florida","02002","W000806","Daniel Webster","M","Congress","Republican","RepWebster","repdanwebster"
"repwesterman","2852998461","RepWesterman","Rep. Bruce Westerman","Congressman representing the 4th District of Arkansas. Husband. Father of four. Hot Springs native. Engineer. Forester. @UArkansas, @Yale alum.",3038,1956,642,"Fri Oct 31 03:57:48 +0000 2014","Hot Springs, Arkansas","02224","W000821","Bruce Westerman","M","Congress","Republican","RepWesterman",NA
"repwestmoreland","137407124","RepWestmoreland","Lynn Westmoreland","U.S. Representative proudly serving Georgia's Third Congressional District.",10731,4053,906,"Mon Apr 26 17:19:38 +0000 2010","","01779","W000796","Lynn A. Westmoreland","M","Congress","Republican","71389451419","RepLynnWestmoreland"
"repwilson","234014087","RepWilson","Frederica Wilson","Congresswoman from the 24th District of Florida; former elementary school principal and school board member; grandmother of four beautiful grandkids",12895,7017,2940,"Tue Jan 04 17:08:09 +0000 2011","Washington DC","02004","W000808","Frederica S. Wilson","F","Congress","Democrat","RepWilson","repfredericawilson"
"repzoelofgren","267938462","RepZoeLofgren","Rep. Zoe Lofgren","Member of Congress Proudly Representing CA's 19th Congressional District in Silicon Valley's cities of San Jose, Morgan Hill & Gilroy",9878,1514,102,"Thu Mar 17 21:06:21 +0000 2011","","00701","L000397","Zoe Lofgren","F","Congress","Democrat","zoelofgren","RepZoeLofgren"
"robert_aderholt","76452765","Robert_Aderholt","Rep. Robert Aderholt","Proudly serving the 4th Congressional District of Alabama in Congress",10229,1183,106,"Tue Sep 22 21:16:37 +0000 2009","Haleyville, AL","01460","A000055","Robert B. Aderholt","M","Congress","Republican","RobertAderholt","RobertAderholt"
"robwittman","15356407","RobWittman","Rep. Rob Wittman","proud husband, father, and grandfather; humble Rep. of Virginia's First District; chairman of the readiness subcommittee; advocate of sportsman-led conservation",18467,4504,6949,"Tue Jul 08 18:25:49 +0000 2008","Montross, VA","01886","W000804","Robert J. Wittman","M","Congress","Republican","RepRobWittman","RobWittman"
"rodneydavis","993153006","RodneyDavis","US Rep Rodney Davis","Proudly representing the 13th Congressional District of Illinois.",7278,3175,538,"Thu Dec 06 14:20:04 +0000 2012","Taylorville, IL","02126","D000619","Rodney Davis","M","Congress","Republican","RepRodneyDavis","RepRodneyDavis"
"ronwyden","250188760","RonWyden","Ron Wyden","U.S. Senator from Oregon. @SenateFinance Ranking Member. Follow @WydenPress for updates from my staff. Instagram: https://t.co/xlc8cjtnrN",44506,3482,322,"Thu Feb 10 16:08:15 +0000 2011","Oregon & Washington, DC","01247","W000779","Ron Wyden","M","Congress","Democrat",NA,"senronwyden"
"rosadelauro","140519774","rosadelauro","Rosa DeLauro","Proud to represent CT's 3rd CD. Italian-American, New Haven native, fierce advocate for a strong middle class & those in need. Tweets from Rosa are signed -Rosa",20159,4922,2600,"Wed May 05 18:11:32 +0000 2010","New Haven, CT","00281","D000216","Rosa L. DeLauro","F","Congress","Democrat","CongresswomanRosaDeLauro","rosadelauro"
"roslehtinen","14275291","RosLehtinen","Ileana Ros-Lehtinen","Blessed to rep beautiful South Florida and the wonderful folks who live here!",79632,20958,1611,"Tue Apr 01 14:59:30 +0000 2008","Miami, Florida","00985","R000435","Ileana Ros-Lehtinen","F","Congress","Republican","iroslehtinen","IleanaRosLehtinen"
"royblunt","21269970","RoyBlunt","Senator Roy Blunt","Official account of U.S. Senator Roy Blunt. Honored to represent the great state of Missouri.",42880,7418,7143,"Thu Feb 19 02:58:03 +0000 2009","Missouri","01464","B000575","Roy Blunt","M","Congress","Republican","SenatorBlunt","SenatorBlunt"
"rushlimbaugh","342887079","rushlimbaugh","Rush Limbaugh","The Genuine Twitter feed of Rush Limbaugh. The Rush Limbaugh Show is America's most listened to radio talk show, broadcast on over 600 radio stations.",505633,1178,0,"Tue Jul 26 18:49:34 +0000 2011","The EIB Network",NA,NA,NA,NA,"Media Outlets",NA,NA,NA
"samspressshop","249288197","SamsPressShop","Sam Johnson","Faithfully serving the Third Congressional District of Texas.",5198,850,438,"Tue Feb 08 19:01:18 +0000 2011","Third District of Texas","00603","J000174","Sam Johnson","M","Congress","Republican","RepSamJohnson","RepSamJohnson"
"sanfordbishop","249410485","SanfordBishop","Sanford Bishop, Jr.","Proudly representing Georgia's 2nd Congressional District.
Ranking Member of MilCon/VA Approps Subcommittee 
http://t.co/jORrdOYPnj",9272,1560,791,"Wed Feb 09 00:23:10 +0000 2011","Georgia 2nd CD & Washington DC","00091","B000490","Sanford D. Bishop Jr.","M","Congress","Democrat","sanfordbishop","RepSanfordBishop"
"sarahpalinusa","65493023","SarahPalinUSA","Sarah Palin","Former Governor of Alaska and GOP Vice Presidential Nominee",1273663,3025,137,"Thu Aug 13 22:56:16 +0000 2009","Alaska",NA,NA,NA,NA,"Other Politicians",NA,NA,NA
"seanhannity","41634520","seanhannity","Sean Hannity","",1480465,31708,6699,"Thu May 21 17:41:12 +0000 2009","NYC",NA,NA,NA,NA,"Journalists",NA,NA,NA
"sen_joemanchin","234374703","Sen_JoeManchin","Senator Joe Manchin","I proudly serve the people of West Virginia. Please do not hesitate to contact me to share your commonsense ideas, concerns or if you need assistance.",40540,4074,609,"Wed Jan 05 14:13:33 +0000 2011","","01983","M001183","Joe Manchin, III","M","Congress","Democrat","JoeManchinIII","SenatorJoeManchin"
"senalexander","76649729","SenAlexander","Sen. Lamar Alexander","Follow Sen. Alexander in TN, in DC, and in the news.",36781,2736,421,"Wed Sep 23 13:58:50 +0000 2009","","01695","A000360","Lamar Alexander","M","Congress","Republican","senatorlamaralexander","lamaralexander"
"senatedems","73238146","SenateDems","Senate Democrats","News from leadership staff of Senate Democrats. Edited by @fshakir.",334436,8209,2367,"Thu Sep 10 22:26:03 +0000 2009","Washington, DC",NA,NA,NA,NA,"Other Politicians",NA,NA,NA
"senatorbaldwin","1074518754","SenatorBaldwin","Sen. Tammy Baldwin","Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin. Tweets from Tammy are signed -TB.",22463,7624,2453,"Wed Jan 09 18:29:44 +0000 2013","Washington, D.C.","01558","B001230","Tammy Baldwin","F","Congress","Democrat","TammyBaldwin","witammybaldwin"
"senatorbarb","132278386","SenatorBarb","Barbara Mikulski","U.S. Senator for Maryland",46995,4606,234,"Mon Apr 12 20:06:38 +0000 2010","Baltimore, MD/Washington DC","00802","M000702","Barbara A. Mikulski","F","Congress","Democrat","SenatorMikulski","senatormikulski"
"senatorboxer","15442036","SenatorBoxer","Sen. Barbara Boxer","U.S. Senator Barbara Boxer of California.",84307,2141,152,"Tue Jul 15 16:02:13 +0000 2008","Washington, D.C.","00116","B000711","Barbara Boxer","F","Congress","Democrat","senatorboxer","SenatorBoxer"
"senatorburr","21157904","SenatorBurr","Richard Burr","U.S. Senator from North Carolina, Chairman of the Senate Select Committee on Intelligence",38882,2561,1996,"Wed Feb 18 01:53:03 +0000 2009","Winston-Salem, NC","00153","B001135","Richard Burr","M","Congress","Republican","SenatorRichardBurr","SenatorRichardBurr"
"senatorcantwell","117501995","SenatorCantwell","Sen. Maria Cantwell","U.S. Senator from Washington State | Tweets from Maria are signed –MC | Facebook:https://t.co/qLmMk10nJI",24510,2372,1454,"Thu Feb 25 19:21:52 +0000 2010","Washington, D.C.","00172","C000127","Maria Cantwell","F","Congress","Democrat",NA,"SenatorCantwell"
"senatorcardin","109071031","SenatorCardin","Senator Ben Cardin","U.S. Sen. Ben Cardin- #MD 
Ranking Member- Foreign Relations Committee
IG- https://t.co/g3YzVDoXG7

FB- https://t.co/quMA3SHbqI
Medium- https://t.co/JNnAUMemAO",36321,6887,423,"Wed Jan 27 22:03:53 +0000 2010","#MD/DC","00174","C000141","Benjamin L. Cardin","M","Congress","Democrat","senatorbencardin","senatorcardin"
"senatorcarper","249787913","SenatorCarper","Senator Tom Carper","U.S. Senator for Delaware | Ranking Member of @SenateHSGACDems",20788,4849,858,"Wed Feb 09 19:46:42 +0000 2011","Delaware","00179","C000174","Thomas R. Carper","M","Congress","Democrat","tomcarper","senatorcarper"
"senatorcollins","19726613","SenatorCollins","Sen. Susan Collins","United States Senator from Maine. 

All tweets originate from the Press Office of Senator Susan Collins.",45968,1821,950,"Thu Jan 29 18:56:59 +0000 2009","Maine","01541","C001035","Susan M. Collins","F","Congress","Republican","susancollins","SenatorSusanCollins"
"senatordurbin","247334603","SenatorDurbin","Senator Dick Durbin","Serving the people of Illinois. Assistant Senate Democratic Leader. Follows/RTs do not equal an endorsement.",72690,7199,2312,"Fri Feb 04 15:50:42 +0000 2011","","00326","D000563","Richard J. Durbin","M","Congress","Democrat","SenatorDurbin","SenatorDurbin"
"senatorenzi","291756142","SenatorEnzi","Mike Enzi","Mike Enzi is Wyoming’s 20th U.S. Senator. His joy of representing Wyoming is topped by few things. (Being a grandfather and fly-fishing are two).",20632,2783,585,"Mon May 02 15:26:39 +0000 2011","","01542","E000285","Michael B. Enzi","M","Congress","Republican","mikeenzi","senatorenzi"
"senatorfischer","1071402577","SenatorFischer","Senator Deb Fischer","U.S. Senator and Cherry County rancher working to bring some Nebraska common sense to Washington",18558,2799,160,"Tue Jan 08 16:49:07 +0000 2013","","02179","F000463","Deb Fischer","F","Congress","Republican","senatordebfischer","senatordebfischer"
"senatorheitkamp","1061029050","SenatorHeitkamp","Sen. Heidi Heitkamp","Official Twitter account for Heidi Heitkamp, U.S. Senator for #NorthDakota. Learn more on Facebook: https://t.co/sdBAQYB6b4.
Instagram: http://t.co/o02Q1Pt8AC",21201,6757,661,"Fri Jan 04 17:57:48 +0000 2013","","02174","H001069","Heidi Heitkamp","F","Congress","Democrat","SenatorHeidiHeitkamp","senatorheidiheitkamp"
"senatorisakson","78403308","SenatorIsakson","Johnny Isakson","Official Page of U.S. Senator Johnny Isakson (R-Ga.)          (Committees: Veterans' Affairs, Chairman; Ethics, Chairman; Foreign Relations; HELP; Finance)",24664,2707,461,"Tue Sep 29 20:09:30 +0000 2009","GA & DC","01608","I000055","Johnny Isakson","M","Congress","Republican",NA,"SenatorIsakson"
"senatorkirk","211588974","SenatorKirk","Mark Kirk","I serve the people of the state of Illinois in the United States Senate. Please do not hesitate to contact me if you have any questions or need assistance.",46315,6254,1867,"Wed Nov 03 17:51:13 +0000 2010","Highland Park, Illinois","01647","K000360","Mark Kirk","M","Congress","Republican","SenatorKirk","SenatorKirk"
"senatorlankford","225921757","SenatorLankford","Sen. James Lankford","Serving the State of Oklahoma in the United States Senate",18520,3452,535,"Sun Dec 12 20:33:07 +0000 2010","Oklahoma and Washington, DC","02050","L000575","James Lankford","M","Congress","Republican","SenatorLankford","SenatorLankford"
"senatorleahy","242836537","SenatorLeahy","Sen. Patrick Leahy","",41317,8411,1489,"Tue Jan 25 18:20:07 +0000 2011","Washington, DC","01383","L000174","Patrick J. Leahy","M","Congress","Democrat","SenatorPatrickLeahy","SenatorPatrickLeahy"
"senatormenendez","18695134","SenatorMenendez","Senator Bob Menendez","Proudly serving the State of New Jersey in the United States Senate.",56713,4545,627,"Tue Jan 06 21:01:12 +0000 2009","","00791","M000639","Robert Menendez","M","Congress","Democrat","senatormenendez","SenatorMenendezNJ"
"senatorreid","16789970","SenatorReid","Senator Harry Reid","News from the office of Nevada Senator Harry Reid, the U.S. Senate Democratic Leader.(Español: @SenadorReid)",345317,3838,154,"Wed Oct 15 19:42:08 +0000 2008","Searchlight, NV","00952","R000146","Harry Reid","M","Congress","Democrat","SenatorReid","SenatorReid"
"senatorrisch","1096059529","SenatorRisch","Senator Jim Risch","United States Senator Jim Risch (R-ID)",15387,431,47,"Wed Jan 16 18:58:23 +0000 2013","Boise & Washington, D.C.","01896","R000584","James E. Risch","M","Congress","Republican",NA,"SenatorJamesRisch"
"senatorrounds","2955485182","SenatorRounds","Senator Mike Rounds","U.S. Senator for South Dakota",5742,1165,516,"Thu Jan 01 20:23:49 +0000 2015","Pierre, South Dakota","02288","R000605","Mike Rounds","M","Congress","Republican","SenatorMikeRounds",NA
"senatorsessions","47975734","SenatorSessions","Sen. Jeff Sessions","U.S. Sen. Jeff Sessions (R-AL) serves as the Chairman of two Senate subcommittees: Immigration and the National Interest, and Strategic Forces.",61771,1972,104,"Wed Jun 17 14:24:08 +0000 2009","Mobile, AL","01548","S001141","Jeff Sessions","M","Congress","Republican","jeffsessions","SenatorSessions"
"senatorshaheen","109287731","SenatorShaheen","Sen. Jeanne Shaheen","Proud Granite Stater serving New Hampshire in the US Senate. Former Governor. Mother & Grandmother. Frequent Flyer. Pats & Red Sox Fan. Outdoor enthusiast.",30027,4531,5575,"Thu Jan 28 15:22:44 +0000 2010","Washington, DC","01901","S001181","Jeanne Shaheen","F","Congress","Democrat","SenatorShaheen","senatorshaheen"
"senatortester","515822213","SenatorTester","Senator Jon Tester","Third-generation Montana farmer. Proud grandfather. Former school teacher. Flattop icon. Trumpet player. Montana's senior Senator.",6722,2049,883,"Mon Mar 05 20:13:29 +0000 2012","Montana","01829","T000464","Jon Tester","M","Congress","Democrat","senatortester","senatorjontester"
"senatortimscott","217543151","SenatorTimScott","Tim Scott","Official account of U.S. Senator Tim Scott. Honored to represent the great state of South Carolina. RTs and follows dont equal endorsements. #OpportunityAgenda",128986,5015,3926,"Fri Nov 19 20:34:30 +0000 2010","South Carolina","02056","S001184","Tim Scott","M","Congress","Republican","SenatorTimScott","SenatorTimScott"
"senatortomudall","60828944","SenatorTomUdall","Tom Udall","United States Senator from New Mexico. Follow @TomUdallPress for media updates.",23967,2872,333,"Tue Jul 28 06:10:29 +0000 2009","Santa Fe and Washington","01567","U000039","Tom Udall","M","Congress","Democrat","senatortomudall","senatortomudall"
"senatorwicker","264219447","SenatorWicker","Senator Roger Wicker","U.S. Senator for the State of Mississippi. Please visit my website for updates from the Senate.",23779,2673,292,"Fri Mar 11 14:59:01 +0000 2011","Mississippi & Washington, DC","01226","W000437","Roger F. Wicker","M","Congress","Republican","SenatorWicker","SenatorWicker"
"senbennetco","224285242","SenBennetCO","Michael F. Bennet","U.S. Senator for Colorado",27980,1322,88,"Wed Dec 08 16:29:29 +0000 2010","Colorado","01965","B001267","Michael F. Bennet","M","Congress","Democrat","senatorbennet","SenatorBennet"
"senbillnelson","20597460","SenBillNelson","Bill Nelson","U.S. Sen. Bill Nelson is the senior senator from the state of Florida.",45296,572,100,"Wed Feb 11 15:44:25 +0000 2009","Florida/ Washington, D.C.","00859","N000032","Bill Nelson","M","Congress","Democrat",NA,"senbillnelson"
"senblumenthal","278124059","SenBlumenthal","Richard Blumenthal","Connecticut’s U.S. Senator",40292,6593,973,"Wed Apr 06 17:13:53 +0000 2011","Connecticut, USA","02076","B001277","Richard Blumenthal","M","Congress","Democrat","SenBlumenthal","SenatorBlumenthal"
"senbobcasey","171598736","SenBobCasey","Senator Bob Casey","Official twitter profile for the press office of Senator Bob Casey.",34882,3506,460,"Tue Jul 27 18:38:20 +0000 2010","Scranton, PA","01828","C001070","Robert P. Casey, Jr.","M","Congress","Democrat","SenatorBobCasey","SenatorBobCasey"
"senbobcorker","73303753","SenBobCorker","Senator Bob Corker","Official news and updates from United States Senator Bob Corker (R-Tennessee) and his staff.",54386,2963,498,"Fri Sep 11 03:56:08 +0000 2009","Tennessee","01825","C001071","Bob Corker","M","Congress","Republican","bobcorker","senatorcorker"
"senbrianschatz","1262099252","SenBrianSchatz","Senator Brian Schatz","Tweets from the Office of U.S. Senator Brian Schatz, representing the great state of Hawaii.",8336,989,1407,"Tue Mar 12 14:23:20 +0000 2013","","02173","S001194","Brian Schatz","M","Congress","Democrat","SenBrianSchatz","senbrianschatz"
"sencapito","193794406","SenCapito","Shelley Moore Capito","Proudly serving West Virginia in the United States Senate.",17646,3736,972,"Wed Sep 22 18:06:14 +0000 2010","","01676","C001047","Shelley Moore Capito","F","Congress","Republican","senshelley","UCbiXdR4XQ3vD9Xp5lfR9QXw"
"sencoonsoffice","435500714","SenCoonsOffice","Office of Sen. Coons","News releases, blog posts, new videos, transcripts and other resources from the office of U.S. Senator @ChrisCoons of Delaware.",4450,2199,107,"Tue Dec 13 04:02:30 +0000 2011","Delaware & Washington","01984","C001088","Christopher A. Coons","M","Congress","Democrat","senatorchriscoons","senatorchriscoons"
"sencorygardner","235217558","SenCoryGardner","Cory Gardner","Proudly serving the state of Colorado in the United States Senate.  This is my official Senate Twitter account. Tweets from Cory are signed -cg.",15584,3038,490,"Fri Jan 07 17:02:56 +0000 2011","Colorado","01998","G000562","Cory Gardner","M","Congress","Republican","SenCoryGardner",NA
"sendancoats","212262370","SenDanCoats","Senator Dan Coats","U.S. Senator serving Indiana",28578,4869,661,"Fri Nov 05 15:56:49 +0000 2010","","00209","C000542","Daniel Coats","M","Congress","Republican","180671148633644","SenatorCoats"
"sendansullivan","2891210047","SenDanSullivan","SenDanSullivan","Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.",4213,1116,432,"Wed Nov 05 21:25:42 +0000 2014","","02290","S001198","Daniel Sullivan","M","Congress","Republican","SenDanSullivan",NA
"sendavidperdue","2863210809","sendavidperdue","David Perdue","Official Twitter account for U.S. Senator David Perdue of Georgia.",8358,1756,919,"Wed Nov 05 20:58:02 +0000 2014","Georgia","02286","P000612","David Perdue","M","Congress","Republican","SenatorDavidPerdue",NA
"sendeanheller","266133081","SenDeanHeller","Dean Heller","U.S. Senator Dean Heller",25601,4937,12136,"Mon Mar 14 18:31:08 +0000 2011","Nevada","01863","H001041","Dean Heller","M","Congress","Republican","SenDeanHeller","SenDeanHeller"
"sendonnelly","216503958","SenDonnelly","Senator Joe Donnelly","U.S. Senator Joe Donnelly's communications staff",23966,3471,213,"Tue Nov 16 22:24:01 +0000 2010","","01850","D000607","Joe Donnelly","M","Congress","Democrat","senatordonnelly","sendonnelly"
"senfeinstein","476256944","SenFeinstein","Sen Dianne Feinstein","United States Senator from California. On Facebook at: http://t.co/siExqwIu",79223,3475,173,"Fri Jan 27 23:06:59 +0000 2012","California","01332","F000062","Dianne Feinstein","F","Congress","Democrat","senatorfeinstein","SenatorFeinstein"
"sengarypeters","236511574","SenGaryPeters","Senator Gary Peters","U.S. Senator proudly representing the state of Michigan.",15042,3325,1139,"Mon Jan 10 19:17:36 +0000 2011","","01929","P000595","Gary C. Peters","M","Congress","Democrat","SenatorGaryPeters","RepGaryPeters"
"sengillibrand","72198806","SenGillibrand","Kirsten Gillibrand","U.S. Senator from New York",183598,12960,468,"Mon Sep 07 03:53:24 +0000 2009","NY","01866","G000555","Kirsten E. Gillibrand","F","Congress","Democrat","KirstenGillibrand","KirstenEGillibrand"
"senjackreed","486694111","SenJackReed","Senator Jack Reed","Official Twitter feed of Rhode Island’s U.S. Senator Jack Reed.",19442,3681,15,"Wed Feb 08 15:24:01 +0000 2012","Providence, Rhode Island","00949","R000122","Jack Reed","M","Congress","Democrat","SenJackReed","SenatorReed"
"senjeffmerkley","29201047","SenJeffMerkley","Senator Jeff Merkley","U.S. Senator from the State of Oregon",45630,3333,174,"Mon Apr 06 13:38:39 +0000 2009","Oregon","01900","M001176","Jeff Merkley","M","Congress","Democrat","jeffmerkley","SenatorJeffMerkley"
"senjohnbarrasso","202206694","SenJohnBarrasso","Sen. John Barrasso","U.S. Senator for the great state of Wyoming and @SenateRPC Chairman.",29901,3167,500,"Wed Oct 13 14:49:08 +0000 2010","","01881","B001261","John Barrasso","M","Congress","Republican","johnbarrasso","barrassowyo"
"senjohnhoeven","382791093","SenJohnHoeven","Senator John Hoeven","U.S. Senator from North Dakota",19588,1566,507,"Fri Sep 30 17:55:30 +0000 2011","North Dakota","02079","H001061","John Hoeven","M","Congress","Republican","SenatorJohnHoeven","senatorjohnhoevennd"
"senjohnmccain","19394188","SenJohnMcCain","John McCain","U.S. Senator John McCain (R-AZ), Chairman of Senate Armed Services Committee",2022071,11545,372,"Fri Jan 23 13:42:31 +0000 2009","Phoenix, AZ / Washington, DC","00754","M000303","John McCain","M","Congress","Republican","johnmccain","SenatorJohnMcCain"
"senjohnthune","296361085","SenJohnThune","Senator John Thune","U.S. Senator John Thune, South Dakota. Chairman of @SenateGOP & @SenateCommerce. Father. Husband. Avid Outdoorsman. Sports Fan.",48904,3178,340,"Tue May 10 16:41:48 +0000 2011","","01534","T000250","John Thune","M","Congress","Republican",NA,"johnthune"
"senjoniernst","2856787757","SenJoniErnst","Joni Ernst","Follow for news and updates from the Office of Iowa Senator Joni K. Ernst. Tweets from Joni are signed JKE.",14280,1009,48,"Sun Nov 02 13:32:54 +0000 2014","Iowa ","02283","E000295","Joni Ernst","F","Congress","Republican","senjoniernst",NA
"senkaineoffice","1267940407","SenKaineOffice","Office of Sen. Kaine","Official twitter account for the office of U.S. Senator Tim Kaine of Virginia",4077,436,212,"Thu Mar 14 20:33:03 +0000 2013","","02176","K000384","Tim Kaine","M","Congress","Democrat","SenatorKaine","SenatorTimKaine"
"senmarkey","21406834","SenMarkey","Ed Markey","Official account for Senator Edward J. Markey. National leader on energy, environment, climate, telecom. Voice for consumer protection. https://t.co/nfYWzVp6R8",32105,6906,650,"Fri Feb 20 15:49:29 +0000 2009","Malden, MA","00735","M000133","Edward J. Markey","M","Congress","Democrat","EdJMarkey","RepMarkey"
